year,round,race_name,circuit_id,circuit_name,date,Other,Race Incident/Crash,Race Status,Technical Failure,Total,Total_Retirements
1994,1,Brazilian Grand Prix,interlagos,Autódromo José Carlos Pace,1994-03-27,0,9,12,5,26,14
1994,2,Pacific Grand Prix,okayama,Okayama International Circuit,1994-04-17,0,7,11,8,26,15
1994,3,San Marino Grand Prix,imola,Autodromo Enzo e Dino Ferrari,1994-05-01,2,8,12,5,27,13
1994,4,Monaco Grand Prix,monaco,Circuit de Monaco,1994-05-15,3,5,11,7,26,12
1994,5,Spanish Grand Prix,catalunya,Circuit de Barcelona-Catalunya,1994-05-29,1,3,10,13,27,16
1994,6,Canadian Grand Prix,villeneuve,Circuit Gilles Villeneuve,1994-06-12,1,4,14,7,26,11
1994,7,French Grand Prix,magny_cours,Circuit de Nevers Magny-Cours,1994-07-03,0,6,10,10,26,16
1994,8,British Grand Prix,silverstone,Silverstone Circuit,1994-07-10,1,0,16,9,26,9
1994,9,German Grand Prix,hockenheimring,Hockenheimring,1994-07-31,0,10,8,8,26,18
1994,10,Hungarian Grand Prix,hungaroring,Hungaroring,1994-08-14,0,7,11,8,26,15
1994,11,Belgian Grand Prix,spa,Circuit de Spa-Francorchamps,1994-08-28,1,3,12,10,26,13
1994,12,Italian Grand Prix,monza,Autodromo Nazionale di Monza,1994-09-11,0,8,9,9,26,17
1994,13,Portuguese Grand Prix,estoril,Autódromo do Estoril,1994-09-25,1,4,16,5,26,9
1994,14,European Grand Prix,jerez,Circuito de Jerez,1994-10-16,0,2,19,5,26,7
1994,15,Japanese Grand Prix,suzuka,Suzuka Circuit,1994-11-06,0,9,13,4,26,13
1994,16,Australian Grand Prix,adelaide,Adelaide Street Circuit,1994-11-13,0,5,11,10,26,15
1995,1,Brazilian Grand Prix,interlagos,Autódromo José Carlos Pace,1995-03-26,0,4,10,12,26,16
1995,2,Argentine Grand Prix,galvez,Autódromo Juan y Oscar Gálvez,1995-04-09,2,9,9,6,26,15
1995,3,San Marino Grand Prix,imola,Autodromo Enzo e Dino Ferrari,1995-04-30,2,3,14,7,26,10
1995,4,Spanish Grand Prix,catalunya,Circuit de Barcelona-Catalunya,1995-05-14,1,0,15,10,26,10
1995,5,Monaco Grand Prix,monaco,Circuit de Monaco,1995-05-28,2,5,10,9,26,14
1995,6,Canadian Grand Prix,villeneuve,Circuit Gilles Villeneuve,1995-06-11,0,6,9,9,24,15
1995,7,French Grand Prix,magny_cours,Circuit de Nevers Magny-Cours,1995-07-02,1,4,16,3,24,7
1995,8,British Grand Prix,silverstone,Silverstone Circuit,1995-07-16,0,7,11,6,24,13
1995,9,German Grand Prix,hockenheimring,Hockenheimring,1995-07-30,0,1,9,14,24,15
1995,10,Hungarian Grand Prix,hungaroring,Hungaroring,1995-08-13,0,2,11,11,24,13
1995,11,Belgian Grand Prix,spa,Circuit de Spa-Francorchamps,1995-08-27,0,4,14,6,24,10
1995,12,Italian Grand Prix,monza,Autodromo Nazionale di Monza,1995-09-10,0,9,10,5,24,14
1995,13,Portuguese Grand Prix,estoril,Autódromo do Estoril,1995-09-24,1,2,17,4,24,6
1995,14,European Grand Prix,nurburgring,Nürburgring,1995-10-01,0,5,15,4,24,9
1995,15,Pacific Grand Prix,okayama,Okayama International Circuit,1995-10-22,0,2,17,5,24,7
1995,16,Japanese Grand Prix,suzuka,Suzuka Circuit,1995-10-29,0,8,12,4,24,12
1995,17,Australian Grand Prix,adelaide,Adelaide Street Circuit,1995-11-12,2,7,8,7,24,14
1996,1,Australian Grand Prix,albert_park,Albert Park Grand Prix Circuit,1996-03-10,0,3,11,6,20,9
1996,2,Brazilian Grand Prix,interlagos,Autódromo José Carlos Pace,1996-03-31,0,7,11,4,22,11
1996,3,Argentine Grand Prix,galvez,Autódromo Juan y Oscar Gálvez,1996-04-07,0,4,10,8,22,12
1996,4,European Grand Prix,nurburgring,Nürburgring,1996-04-28,2,2,13,3,20,5
1996,5,San Marino Grand Prix,imola,Autodromo Enzo e Dino Ferrari,1996-05-05,0,2,9,10,21,12
1996,6,Monaco Grand Prix,monaco,Circuit de Monaco,1996-05-19,2,13,3,4,22,17
1996,7,Spanish Grand Prix,catalunya,Circuit de Barcelona-Catalunya,1996-06-02,1,10,6,3,20,13
1996,8,Canadian Grand Prix,villeneuve,Circuit Gilles Villeneuve,1996-06-16,0,4,8,10,22,14
1996,9,French Grand Prix,magny_cours,Circuit de Nevers Magny-Cours,1996-06-30,1,0,12,9,22,9
1996,10,British Grand Prix,silverstone,Silverstone Circuit,1996-07-14,0,0,11,9,20,9
1996,11,German Grand Prix,hockenheimring,Hockenheimring,1996-07-28,0,2,12,5,19,7
1996,12,Hungarian Grand Prix,hungaroring,Hungaroring,1996-08-11,0,5,8,7,20,12
1996,13,Belgian Grand Prix,spa,Circuit de Spa-Francorchamps,1996-08-25,0,5,10,4,19,9
1996,14,Italian Grand Prix,monza,Autodromo Nazionale di Monza,1996-09-08,0,6,9,5,20,11
1996,15,Portuguese Grand Prix,estoril,Autódromo do Estoril,1996-09-22,0,3,16,1,20,4
1996,16,Japanese Grand Prix,suzuka,Suzuka Circuit,1996-10-13,0,3,13,3,19,6
1997,1,Australian Grand Prix,albert_park,Albert Park Grand Prix Circuit,1997-03-09,0,5,9,8,22,13
1997,2,Brazilian Grand Prix,interlagos,Autódromo José Carlos Pace,1997-03-30,0,1,17,4,22,5
1997,3,Argentine Grand Prix,galvez,Autódromo Juan y Oscar Gálvez,1997-04-13,0,5,9,8,22,13
1997,4,San Marino Grand Prix,imola,Autodromo Enzo e Dino Ferrari,1997-04-27,0,4,11,7,22,11
1997,5,Monaco Grand Prix,monaco,Circuit de Monaco,1997-05-11,0,12,10,0,22,12
1997,6,Spanish Grand Prix,catalunya,Circuit de Barcelona-Catalunya,1997-05-25,0,1,15,6,22,7
1997,7,Canadian Grand Prix,villeneuve,Circuit Gilles Villeneuve,1997-06-15,0,6,10,6,22,12
1997,8,French Grand Prix,magny_cours,Circuit de Nevers Magny-Cours,1997-06-29,0,6,11,5,22,11
1997,9,British Grand Prix,silverstone,Silverstone Circuit,1997-07-13,0,2,10,10,22,12
1997,10,German Grand Prix,hockenheimring,Hockenheimring,1997-07-27,0,5,11,6,22,11
1997,11,Hungarian Grand Prix,hungaroring,Hungaroring,1997-08-10,0,3,12,7,22,10
1997,12,Belgian Grand Prix,spa,Circuit de Spa-Francorchamps,1997-08-24,1,4,15,2,22,6
1997,13,Italian Grand Prix,monza,Autodromo Nazionale di Monza,1997-09-07,0,3,14,5,22,8
1997,14,Austrian Grand Prix,red_bull_ring,Red Bull Ring,1997-09-21,1,3,13,5,22,8
1997,15,Luxembourg Grand Prix,nurburgring,Nürburgring,1997-09-28,0,4,10,8,22,12
1997,16,Japanese Grand Prix,suzuka,Suzuka Circuit,1997-10-12,2,2,12,6,22,8
1997,17,European Grand Prix,jerez,Circuito de Jerez,1997-10-26,0,2,17,3,22,5
1998,1,Australian Grand Prix,albert_park,Albert Park Grand Prix Circuit,1998-03-08,0,3,9,10,22,13
1998,2,Brazilian Grand Prix,interlagos,Autódromo José Carlos Pace,1998-03-29,2,2,10,8,22,10
1998,3,Argentine Grand Prix,galvez,Autódromo Juan y Oscar Gálvez,1998-04-12,0,3,14,5,22,8
1998,4,San Marino Grand Prix,imola,Autodromo Enzo e Dino Ferrari,1998-04-26,0,3,10,9,22,12
1998,5,Spanish Grand Prix,catalunya,Circuit de Barcelona-Catalunya,1998-05-10,0,2,16,3,21,5
1998,6,Monaco Grand Prix,monaco,Circuit de Monaco,1998-05-24,0,3,11,7,21,10
1998,7,Canadian Grand Prix,villeneuve,Circuit Gilles Villeneuve,1998-06-07,0,6,10,6,22,12
1998,8,French Grand Prix,magny_cours,Circuit de Nevers Magny-Cours,1998-06-28,0,1,15,6,22,7
1998,9,British Grand Prix,silverstone,Silverstone Circuit,1998-07-12,0,10,9,3,22,13
1998,10,Austrian Grand Prix,red_bull_ring,Red Bull Ring,1998-07-26,0,6,12,4,22,10
1998,11,German Grand Prix,hockenheimring,Hockenheimring,1998-08-02,0,0,16,5,21,5
1998,12,Hungarian Grand Prix,hungaroring,Hungaroring,1998-08-16,0,0,15,6,21,6
1998,13,Belgian Grand Prix,spa,Circuit de Spa-Francorchamps,1998-08-30,0,12,8,2,22,14
1998,14,Italian Grand Prix,monza,Autodromo Nazionale di Monza,1998-09-13,0,3,13,6,22,9
1998,15,Luxembourg Grand Prix,nurburgring,Nürburgring,1998-09-27,0,0,16,6,22,6
1998,16,Japanese Grand Prix,suzuka,Suzuka Circuit,1998-11-01,0,3,12,6,21,9
1999,1,Australian Grand Prix,albert_park,Albert Park Grand Prix Circuit,1999-03-07,0,4,8,10,22,14
1999,2,Brazilian Grand Prix,interlagos,Autódromo José Carlos Pace,1999-04-11,0,3,8,10,21,13
1999,3,San Marino Grand Prix,imola,Autodromo Enzo e Dino Ferrari,1999-05-02,0,7,9,6,22,13
1999,4,Monaco Grand Prix,monaco,Circuit de Monaco,1999-05-16,0,4,8,10,22,14
1999,5,Spanish Grand Prix,catalunya,Circuit de Barcelona-Catalunya,1999-05-30,1,1,12,8,22,9
1999,6,Canadian Grand Prix,villeneuve,Circuit Gilles Villeneuve,1999-06-13,0,6,10,6,22,12
1999,7,French Grand Prix,magny_cours,Circuit de Nevers Magny-Cours,1999-06-27,1,5,11,5,22,10
1999,8,British Grand Prix,silverstone,Silverstone Circuit,1999-07-11,0,0,16,6,22,6
1999,9,Austrian Grand Prix,red_bull_ring,Red Bull Ring,1999-07-25,0,2,13,7,22,9
1999,10,German Grand Prix,hockenheimring,Hockenheimring,1999-08-01,0,3,10,9,22,12
1999,11,Hungarian Grand Prix,hungaroring,Hungaroring,1999-08-15,0,1,16,5,22,6
